Kennziffer,Raumeinheit,Aggregat,Bevölkerung gesamt
11000,"Berlin, Stadt",kreisfreie Stadt,3469849
12051,"Brandenburg an der Havel, Stadt",kreisfreie Stadt,71032
12052,"Cottbus, Stadt",kreisfreie Stadt,99491
12053,"Frankfurt (Oder), Stadt",kreisfreie Stadt,57649
12054,"Potsdam, Stadt",kreisfreie Stadt,164042
12060,Barnim,Landkreis,174981
12061,Dahme-Spreewald,Landkreis,161952
12062,Elbe-Elster,Landkreis,104997
12063,Havelland,Landkreis,155408
12064,Märkisch-Oderland,Landkreis,188422
12065,Oberhavel,Landkreis,204898
12066,Oberspreewald-Lausitz,Landkreis,112896
12067,Oder-Spree,Landkreis,177823
12068,Ostprignitz-Ruppin,Landkreis,98886
12069,Potsdam-Mittelmark,Landkreis,207498
12070,Prignitz,Landkreis,77550
12071,Spree-Neiße,Landkreis,118030
12072,Teltow-Fläming,Landkreis,161488
12073,Uckermark,Landkreis,120829
13003,"Rostock, Stadt",kreisfreie Stadt,204167
13004,"Schwerin, Stadt",kreisfreie Stadt,92138
13071,Mecklenburgische Seenplatte,Landkreis,261733
13072,Landkreis Rostock,Landkreis,211878
13073,Vorpommern-Rügen,Landkreis,223470
13074,Nordwestmecklenburg,Landkreis,155424
13075,Vorpommern-Greifswald,Landkreis,237697
13076,Ludwigslust-Parchim,Landkreis,212631
14511,"Chemnitz, Stadt",kreisfreie Stadt,243521
14521,Erzgebirgskreis,Landkreis,349582
14522,Mittelsachsen,Landkreis,312711
14523,Vogtlandkreis,Landkreis,232390
14524,Zwickau,Landkreis,325137
14612,"Dresden, Stadt",kreisfreie Stadt,536308
14625,Bautzen,Landkreis,306570
14626,Görlitz,Landkreis,260188
14627,Meißen,Landkreis,243745
14628,Sächsische Schweiz-Osterzgebirge,Landkreis,245954
14713,"Leipzig, Stadt",kreisfreie Stadt,544479
14729,Leipzig,Landkreis,257647
14730,Nordsachsen,Landkreis,197042
15001,"Dessau-Roßlau, Stadt",kreisfreie Stadt,83061
15002,"Halle (Saale), Stadt",kreisfreie Stadt,232470
15003,"Magdeburg, Stadt",kreisfreie Stadt,232306
15081,Altmarkkreis Salzwedel,Landkreis,86071
15082,Anhalt-Bitterfeld,Landkreis,165076
15083,Börde,Landkreis,172829
15084,Burgenlandkreis,Landkreis,184055
15085,Harz,Landkreis,219618
15086,Jerichower Land,Landkreis,91359
15087,Mansfeld-Südharz,Landkreis,142054
15088,Saalekreis,Landkreis,186510
15089,Salzlandkreis,Landkreis,196750
15090,Stendal,Landkreis,114668
15091,Wittenberg,Landkreis,128721
16051,"Erfurt, Stadt",kreisfreie Stadt,206219
16052,"Gera, Stadt",kreisfreie Stadt,94492
16053,"Jena, Stadt",kreisfreie Stadt,108207
16054,"Suhl, Stadt",kreisfreie Stadt,38386
16055,"Weimar, Stadt",kreisfreie Stadt,63477
16056,"Eisenach, Stadt",kreisfreie Stadt,41884
16061,Eichsfeld,Landkreis,100730
16062,Nordhausen,Landkreis,85055
16063,Wartburgkreis,Landkreis,122060
16064,Unstrut-Hainich-Kreis,Landkreis,103922
16065,Kyffhäuserkreis,Landkreis,77148
16066,Schmalkalden-Meiningen,Landkreis,128831
16067,Gotha,Landkreis,135381
16068,Sömmerda,Landkreis,70537
16069,Hildburghausen,Landkreis,64673
16070,Ilm-Kreis,Landkreis,106721
16071,Weimarer Land,Landkreis,81641
16072,Sonneberg,Landkreis,59002
16073,Saalfeld-Rudolstadt,Landkreis,107453
16074,Saale-Holzland-Kreis,Landkreis,83966
16075,Saale-Orla-Kreis,Landkreis,82887
16076,Greiz,Landkreis,101382
16077,Altenburger Land,Landkreis,92705
